ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,StartY_flipped,EndY_flipped,Order,Stimulus,SearchOrCount
cass1,2,12,3410,3452,44,816.6,459.9,581.2,688.2,432.13,173.27,FALSE,DOWN,7.52,RIGHT,Visual foraging,591.1,362.79999999999995,1,flower.jpg,Search
cass1,2,13,3906,3922,18,579.2,699.8,558.5,733.3,73.29,50.12,FALSE,DOWN,0.92,RIGHT,Visual foraging,351.20000000000005,317.70000000000005,1,flower.jpg,Search
cass1,2,14,4100,4126,28,560,729.3,740.3,759.4,259.7,129,FALSE,RIGHT,3.73,RIGHT,Visual foraging,321.70000000000005,291.6,1,flower.jpg,Search
cass1,2,15,4308,4314,8,720.2,768.4,708.9,776.1,40.12,35.45,FALSE,NA,0.29,RIGHT,Visual foraging,282.6,274.9,1,flower.jpg,Search
cass1,2,16,4602,4628,28,708.2,791.2,577.4,753.9,174.13,98.81,FALSE,LEFT,2.79,RIGHT,Visual foraging,259.79999999999995,297.1,1,flower.jpg,Search
cass1,2,17,4806,4816,12,577.2,759,555.7,738.9,58.8,48.66,FALSE,UP,0.65,RIGHT,Visual foraging,292,312.1,1,flower.jpg,Search
cass1,2,18,5054,5084,32,553.2,738,804.7,954.1,446.53,226.33,FALSE,DOWN,7.13,RIGHT,Visual foraging,313,96.89999999999998,1,flower.jpg,Search
cass1,2,19,5274,5294,22,802.2,977.3,852.1,985.9,95.59,53.23,FALSE,RIGHT,1,RIGHT,Visual foraging,73.70000000000005,65.10000000000002,1,flower.jpg,Search
cass1,2,20,5452,5486,36,846.4,992.3,640.9,861.3,271.47,139.67,FALSE,LEFT,5.05,RIGHT,Visual foraging,58.700000000000045,189.70000000000005,1,flower.jpg,Search
cass1,2,21,5684,5832,150,631.9,872.9,478,927.5,1018.92,361.72,TRUE,LEFT,3.29,RIGHT,Visual foraging,178.10000000000002,123.5,1,flower.jpg,Search
cass1,2,22,5986,6006,22,494.7,957.8,532.7,960.2,85.28,47.62,FALSE,RIGHT,0.74,RIGHT,Visual foraging,93.20000000000005,90.79999999999995,1,flower.jpg,Search
